Food_Item,Category,Sugar_Content (g),Calories (kcal),Protein (g),Fiber (g),Carbohydrates (g),Glycemic_Index,Ripeness,Size,Average_Weight (g),Fruit
Fenugreek,Vegetable,1.4,63.7,5.0,2.5,4.4,54,Ripe,Large,600.3,False
Peach,Fruit,6.4,40.8,1.3,3.3,13.5,66,Ripe,Small,55.6,True
Custard Apple,Fruit,16.5,66.4,1.2,2.9,12.1,87,Unripe,Small,185.1,True
Coriander Leaves,Vegetable,0.4,63.1,4.2,1.8,4.5,40,Unripe,Large,240.0,False
Sweet Lime,Fruit,8.6,42.4,2.7,1.1,8.2,47,Overripe,Medium,271.6,True
Radish,Vegetable,1.4,29.7,3.2,2.2,8.6,44,Unripe,Small,673.7,False
Banana,Fruit,6.4,46.8,1.5,4.9,17.3,43,Overripe,Large,185.0,True
Mango,Fruit,11.9,39.9,2.4,3.0,21.4,70,Overripe,Medium,354.3,True
Garlic,Vegetable,2.1,62.3,3.8,5.0,14.6,30,Unripe,Large,333.1,False
Grapes,Fruit,17.6,50.6,2.0,2.9,11.7,74,Unripe,Medium,381.8,True
Coriander Leaves,Vegetable,4.1,35.0,3.9,4.5,12.2,36,Unripe,Medium,147.8,False
Potato,Vegetable,1.2,33.8,2.5,6.0,9.8,55,Ripe,Small,687.7,False
Turnip,Vegetable,1.0,36.0,4.9,3.8,11.9,24,Unripe,Small,158.8,False
Fig,Fruit,10.2,75.9,1.5,1.1,17.2,86,Ripe,Medium,228.3,True
Orange,Fruit,13.0,88.6,0.6,0.9,6.9,94,Overripe,Small,298.6,True
Strawberry,Fruit,5.6,90.9,2.4,4.7,7.0,69,Ripe,Medium,396.3,True
Gooseberry,Fruit,15.5,48.1,2.3,4.5,12.8,51,Ripe,Small,472.8,True
Pineapple,Fruit,5.8,63.1,1.7,3.1,15.6,82,Overripe,Medium,367.0,True
Tomato,Vegetable,4.3,24.4,4.5,4.9,9.5,30,Overripe,Small,998.6,False
Coriander Leaves,Vegetable,4.7,26.6,4.9,4.5,10.1,37,Ripe,Large,381.7,False
Green Chili,Vegetable,2.0,50.1,4.5,4.0,14.1,21,Ripe,Large,405.8,False
Sapodilla,Fruit,2.0,98.1,0.8,1.7,14.8,63,Unripe,Large,123.4,True
Colocasia,Vegetable,1.1,43.7,4.4,2.2,7.9,34,Ripe,Medium,249.6,False
Banana,Fruit,5.7,46.5,0.9,1.1,12.4,76,Unripe,Small,342.7,True
Turnip,Vegetable,4.8,48.2,1.4,2.8,4.5,54,Ripe,Small,1272.0,False
Grapes,Fruit,15.8,89.3,1.6,0.7,14.8,67,Overripe,Large,363.0,True
Gooseberry,Fruit,17.7,53.6,1.4,4.6,14.3,40,Overripe,Medium,467.0,True
Custard Apple,Fruit,6.6,93.6,0.7,1.7,18.6,87,Unripe,Medium,147.2,True
Onion,Vegetable,3.1,40.1,4.6,7.2,11.7,40,Overripe,Medium,565.6,False
Peas,Vegetable,4.8,54.3,1.5,4.8,4.3,34,Unripe,Medium,1087.4,False
Fig,Fruit,7.3,86.4,1.7,2.8,21.5,67,Ripe,Medium,475.2,True
Pomegranate,Fruit,6.0,31.3,2.5,4.8,9.5,74,Overripe,Large,112.9,True
Beetroot,Vegetable,2.2,62.7,4.6,3.4,5.0,34,Ripe,Large,986.7,False
Peach,Fruit,8.0,51.2,1.3,2.8,22.8,92,Unripe,Small,412.8,True
Drumstick,Vegetable,1.5,56.9,2.6,4.7,3.9,20,Overripe,Large,671.4,False
Sweet Lime,Fruit,17.7,58.5,1.0,1.8,11.8,40,Overripe,Small,428.1,True
Fenugreek,Vegetable,0.6,58.8,3.8,4.0,10.1,35,Unripe,Medium,1236.6,False
Colocasia,Vegetable,1.1,36.7,3.8,5.7,10.2,36,Unripe,Medium,1042.4,False
Avocado,Fruit,2.0,39.0,2.3,0.7,11.0,51,Ripe,Small,53.2,True
Banana,Fruit,3.7,60.1,0.9,1.6,10.3,55,Unripe,Small,323.3,True
Spinach,Vegetable,3.2,58.2,3.1,3.0,12.1,52,Unripe,Small,1004.7,False
Guava,Fruit,2.2,74.8,2.4,2.4,23.5,52,Unripe,Small,469.4,True
Mango,Fruit,17.8,59.1,1.5,3.7,23.3,58,Unripe,Medium,190.0,True
Litchi,Fruit,4.3,84.6,2.9,4.0,12.2,97,Unripe,Medium,209.4,True
Yam,Vegetable,4.4,25.5,2.3,2.9,6.7,49,Unripe,Medium,253.5,False
Colocasia,Vegetable,1.8,22.6,3.3,4.7,7.7,60,Ripe,Small,1403.0,False
Tomato,Vegetable,3.6,60.8,3.8,6.6,4.4,47,Ripe,Small,605.3,False
Turnip,Vegetable,2.3,28.2,4.9,5.2,7.2,58,Overripe,Medium,857.9,False
Gooseberry,Fruit,19.4,39.0,2.5,3.8,22.0,68,Overripe,Medium,302.1,True
Green Chili,Vegetable,2.8,44.5,3.5,7.7,10.6,39,Overripe,Medium,1477.6,False
Plum,Fruit,19.2,69.1,0.5,1.4,5.9,81,Overripe,Large,315.9,True
Garlic,Vegetable,0.4,47.2,3.9,3.3,6.7,57,Unripe,Medium,824.2,False
Brinjal,Vegetable,3.0,31.8,4.4,1.1,11.5,54,Ripe,Medium,226.1,False
Pumpkin,Vegetable,4.0,24.9,1.1,4.9,3.9,38,Ripe,Medium,149.2,False
Pomegranate,Fruit,0.4,64.7,1.0,3.8,11.5,97,Overripe,Small,351.9,True
Jackfruit,Fruit,9.9,85.9,2.0,1.5,21.1,100,Overripe,Medium,88.1,True
Ginger,Vegetable,1.7,37.8,3.8,3.0,8.8,20,Ripe,Large,629.2,False
Tomato,Vegetable,3.5,20.2,3.1,6.2,6.2,34,Overripe,Medium,699.0,False
Watermelon,Fruit,15.7,99.7,0.6,3.9,21.3,90,Overripe,Medium,123.7,True
Green Chili,Vegetable,4.4,66.9,4.1,7.6,6.2,50,Unripe,Small,1151.6,False
Ginger,Vegetable,0.8,36.9,3.8,4.3,8.2,51,Unripe,Medium,1056.5,False
Banana,Fruit,7.3,33.4,2.7,2.4,15.4,83,Ripe,Large,278.7,True
Papaya,Fruit,19.6,84.6,0.8,4.4,19.7,47,Overripe,Large,241.3,True
Peach,Fruit,3.5,47.9,2.9,1.4,17.5,48,Ripe,Large,440.2,True
Carrot,Vegetable,4.2,29.3,2.4,5.7,12.3,53,Ripe,Large,1044.0,False
Beetroot,Vegetable,3.1,36.1,3.9,2.1,9.7,58,Overripe,Large,1197.1,False
Cabbage,Vegetable,1.1,51.2,2.7,4.2,3.1,20,Unripe,Small,174.9,False
Pear,Fruit,10.7,42.2,1.6,3.5,6.2,59,Ripe,Small,321.5,True
Spinach,Vegetable,3.9,59.5,4.8,7.9,13.3,28,Ripe,Small,636.7,False
Brinjal,Vegetable,4.6,34.9,1.1,4.3,12.0,39,Ripe,Small,1439.3,False
Avocado,Fruit,16.2,46.2,1.4,2.2,21.8,42,Unripe,Small,414.2,True
Guava,Fruit,0.8,94.8,2.7,4.7,16.5,58,Unripe,Medium,301.8,True
Okra,Vegetable,1.0,29.8,1.8,1.2,5.4,43,Overripe,Small,1410.8,False
Garlic,Vegetable,4.4,63.4,3.7,5.3,6.7,24,Ripe,Large,718.8,False
Orange,Fruit,2.2,32.5,1.9,5.0,6.3,63,Unripe,Small,465.2,True
Jackfruit,Fruit,13.6,93.4,2.8,4.0,22.4,57,Ripe,Small,408.3,True
Yam,Vegetable,1.3,37.5,3.8,7.0,4.7,26,Unripe,Medium,167.2,False
Spinach,Vegetable,1.3,20.6,1.4,1.6,3.5,48,Unripe,Small,230.9,False
Orange,Fruit,12.6,61.0,2.0,4.9,14.4,65,Ripe,Small,91.5,True
Fenugreek,Vegetable,0.7,46.9,1.2,6.6,13.5,29,Ripe,Small,598.2,False
Ginger,Vegetable,0.3,43.1,2.4,2.3,3.6,42,Unripe,Large,911.4,False
Ginger,Vegetable,3.8,53.6,3.8,3.7,6.9,28,Ripe,Medium,588.3,False
Orange,Fruit,12.9,94.1,0.7,4.3,24.7,44,Overripe,Small,346.5,True
Peas,Vegetable,2.1,62.3,4.1,4.7,6.5,43,Unripe,Medium,1414.5,False
Mushrooms,Vegetable,0.7,32.8,2.3,6.9,6.0,60,Unripe,Small,1204.8,False
Garlic,Vegetable,3.5,64.9,4.1,6.9,9.3,38,Unripe,Medium,943.0,False
Carrot,Vegetable,3.0,30.5,3.8,3.5,7.9,36,Overripe,Medium,1250.5,False
Jackfruit,Fruit,17.4,41.0,1.6,3.6,7.3,56,Unripe,Small,422.8,True
Drumstick,Vegetable,3.6,62.0,2.1,2.1,8.7,20,Ripe,Medium,286.5,False
Sweet Corn,Vegetable,3.4,59.8,2.6,5.0,5.9,21,Unripe,Medium,1069.6,False
Kohlrabi,Vegetable,4.5,44.0,3.4,5.9,10.9,22,Overripe,Small,1476.7,False
Sweet Corn,Vegetable,1.5,56.8,4.4,5.8,8.6,53,Unripe,Large,861.0,False
Bottle Gourd,Vegetable,2.0,45.9,4.1,1.2,14.6,24,Unripe,Large,465.6,False
Okra,Vegetable,4.1,39.8,2.7,6.1,14.4,37,Overripe,Large,490.6,False
Spinach,Vegetable,3.6,22.8,3.5,6.8,12.4,41,Overripe,Small,1213.9,False
Litchi,Fruit,18.8,33.5,2.9,2.6,24.0,83,Unripe,Medium,489.8,True
Fig,Fruit,6.5,76.0,1.9,5.0,11.2,46,Overripe,Medium,134.9,True
Pear,Fruit,12.1,61.4,1.2,3.2,17.3,76,Ripe,Large,433.9,True
Sapodilla,Fruit,10.9,92.7,2.3,2.4,7.3,52,Unripe,Small,155.1,True
Orange,Fruit,0.0,90.9,1.2,0.9,6.2,100,Ripe,Large,364.4,True
Fenugreek,Vegetable,3.8,27.0,3.1,5.3,8.1,29,Unripe,Medium,1316.7,False
Pomegranate,Fruit,16.1,70.5,2.1,1.1,8.5,76,Ripe,Large,415.4,True
Sweet Lime,Fruit,15.6,86.8,1.6,3.4,18.3,100,Ripe,Small,139.7,True
Sweet Corn,Vegetable,3.6,38.4,1.3,4.2,13.0,25,Unripe,Large,846.8,False
Spinach,Vegetable,4.2,22.0,4.5,6.5,8.9,22,Overripe,Large,812.3,False
Orange,Fruit,9.8,32.4,2.8,3.5,20.9,78,Unripe,Medium,218.5,True
Avocado,Fruit,15.0,59.3,1.7,3.0,15.8,69,Unripe,Large,149.9,True
Pear,Fruit,11.0,52.2,1.1,4.4,18.1,84,Unripe,Large,299.9,True
French Beans,Vegetable,1.9,22.4,1.8,3.8,14.1,37,Overripe,Large,518.4,False
Strawberry,Fruit,19.4,70.2,2.1,3.6,7.2,95,Overripe,Large,365.8,True
Green Chili,Vegetable,4.9,41.2,1.1,7.0,8.4,25,Unripe,Medium,1123.0,False
Chayote,Vegetable,0.0,32.2,3.1,1.6,11.2,34,Overripe,Large,558.8,False
Cauliflower,Vegetable,3.9,49.0,4.6,1.6,13.0,23,Unripe,Small,1052.7,False
Dragon Fruit,Fruit,3.6,74.3,2.6,4.7,16.7,69,Ripe,Large,277.3,True
Lychee,Fruit,14.4,91.3,1.3,0.6,22.4,51,Overripe,Small,260.0,True
Coriander Leaves,Vegetable,2.8,45.1,1.2,3.7,10.2,60,Unripe,Small,647.1,False
Okra,Vegetable,0.1,24.6,2.4,4.1,14.2,50,Ripe,Small,1393.2,False
Yam,Vegetable,1.8,48.2,1.2,6.5,5.5,47,Overripe,Small,505.8,False
Brinjal,Vegetable,1.7,28.6,2.8,2.1,6.1,51,Ripe,Medium,751.1,False
Tamarind,Fruit,0.5,81.7,1.5,2.6,23.2,67,Overripe,Medium,209.4,True
Custard Apple,Fruit,8.8,48.7,1.4,2.6,8.3,98,Overripe,Small,210.9,True
Cauliflower,Vegetable,3.2,64.5,2.5,2.7,9.6,51,Ripe,Medium,1187.6,False
Peach,Fruit,16.2,96.5,0.8,0.7,21.9,40,Overripe,Small,344.6,True
Custard Apple,Fruit,8.9,70.9,2.9,4.4,15.7,46,Overripe,Large,219.1,True
Potato,Vegetable,4.8,55.3,1.3,2.0,7.3,30,Unripe,Medium,583.0,False
Beetroot,Vegetable,4.9,62.9,2.1,7.0,9.9,59,Overripe,Small,1184.3,False
Peach,Fruit,10.1,68.9,1.9,3.5,9.8,83,Overripe,Large,448.4,True
Pumpkin,Vegetable,0.8,58.8,3.4,3.4,7.0,34,Ripe,Medium,115.1,False
Jackfruit,Fruit,10.6,57.1,1.1,1.9,19.5,61,Ripe,Small,339.9,True
Spinach,Vegetable,4.3,27.3,3.1,5.7,8.3,30,Unripe,Medium,1413.9,False
Kohlrabi,Vegetable,0.4,60.2,2.3,1.8,4.3,53,Ripe,Large,384.6,False
Jackfruit,Fruit,9.8,64.8,2.6,3.9,24.9,94,Ripe,Small,171.1,True
Sapodilla,Fruit,4.6,79.1,2.0,1.9,23.4,71,Overripe,Large,267.8,True
Fenugreek,Vegetable,1.9,61.6,1.8,7.3,5.5,48,Overripe,Medium,280.7,False
Peach,Fruit,18.7,70.0,1.1,2.9,19.3,49,Ripe,Medium,469.6,True
Fig,Fruit,0.3,91.1,2.5,2.5,19.2,46,Overripe,Medium,454.9,True
Dragon Fruit,Fruit,19.3,44.7,1.8,4.4,22.4,68,Overripe,Small,232.1,True
Fenugreek,Vegetable,4.8,24.6,4.9,4.9,10.3,28,Ripe,Medium,920.8,False
Apple,Fruit,15.8,67.5,2.7,3.7,18.3,62,Overripe,Medium,395.8,True
Apple,Fruit,7.3,48.3,1.5,2.3,7.1,79,Overripe,Large,429.7,True
Banana,Fruit,10.4,75.2,2.9,4.3,10.5,48,Overripe,Medium,286.2,True
Drumstick,Vegetable,3.7,28.4,4.9,2.8,7.2,38,Ripe,Small,979.8,False
Dragon Fruit,Fruit,14.7,68.8,2.5,1.3,20.7,67,Unripe,Large,68.7,True
Pineapple,Fruit,13.5,30.0,1.7,1.9,19.5,60,Unripe,Small,278.1,True
Okra,Vegetable,4.5,59.2,4.7,5.1,6.3,20,Unripe,Medium,151.7,False
Turnip,Vegetable,1.6,25.2,3.9,2.4,7.6,23,Ripe,Large,301.1,False
Sapodilla,Fruit,10.0,76.6,1.2,4.7,12.1,76,Ripe,Large,135.5,True
Cabbage,Vegetable,4.9,32.7,3.7,5.7,5.6,33,Overripe,Small,1134.7,False
Colocasia,Vegetable,0.3,23.3,4.9,2.0,6.8,43,Unripe,Large,1366.9,False
Peach,Fruit,18.1,76.3,1.6,4.8,13.5,93,Ripe,Large,118.4,True
Chayote,Vegetable,0.5,26.6,4.2,6.5,5.7,24,Unripe,Small,574.5,False
Papaya,Fruit,15.6,42.1,2.3,2.6,24.7,95,Unripe,Medium,53.7,True
Watermelon,Fruit,8.7,95.3,1.0,5.0,19.1,94,Unripe,Large,156.3,True
Mango,Fruit,11.1,50.2,2.4,4.2,16.3,57,Overripe,Small,302.1,True
Sapodilla,Fruit,10.4,64.3,0.6,2.8,19.6,53,Ripe,Small,385.2,True
Orange,Fruit,19.6,52.3,2.9,3.4,18.0,80,Ripe,Large,353.0,True
Guava,Fruit,19.1,85.0,1.5,4.3,16.8,80,Overripe,Large,450.7,True
Tamarind,Fruit,8.2,35.9,1.6,1.6,15.5,41,Unripe,Large,218.1,True
Custard Apple,Fruit,8.7,97.2,0.7,0.6,6.2,63,Overripe,Medium,229.0,True
Banana,Fruit,8.1,70.9,1.2,1.8,6.2,47,Overripe,Medium,433.1,True
Turnip,Vegetable,1.0,46.8,3.5,1.2,3.5,25,Overripe,Small,424.6,False
Avocado,Fruit,8.4,54.7,2.2,2.6,14.1,90,Ripe,Large,65.1,True
Apple,Fruit,7.0,75.6,2.9,4.3,22.5,67,Unripe,Medium,479.6,True
Pomegranate,Fruit,8.5,93.1,1.7,2.3,24.7,45,Overripe,Small,218.4,True
Jackfruit,Fruit,17.5,30.1,2.3,0.6,15.8,61,Unripe,Large,315.1,True
Onion,Vegetable,1.0,51.0,1.0,2.3,14.6,54,Ripe,Large,143.5,False
Drumstick,Vegetable,1.5,63.9,2.9,2.4,12.4,54,Overripe,Large,821.4,False
Fig,Fruit,19.8,71.5,0.6,1.5,15.4,53,Ripe,Medium,468.9,True
Pumpkin,Vegetable,0.4,35.5,2.3,6.0,10.3,44,Unripe,Small,673.3,False
Green Chili,Vegetable,4.6,28.1,2.6,3.9,5.2,57,Ripe,Small,402.1,False
Litchi,Fruit,16.9,54.9,1.8,4.1,16.4,66,Overripe,Large,121.9,True
Tomato,Vegetable,1.1,23.1,2.0,6.7,8.8,48,Ripe,Medium,941.1,False
Strawberry,Fruit,12.1,91.4,2.2,1.5,5.6,43,Overripe,Small,356.8,True
Onion,Vegetable,3.8,59.5,1.2,4.6,4.4,43,Unripe,Small,450.5,False
Jackfruit,Fruit,1.4,47.6,1.5,1.8,16.6,55,Unripe,Large,242.7,True
French Beans,Vegetable,1.1,64.2,2.2,4.3,9.0,48,Ripe,Large,1412.1,False
Papaya,Fruit,3.7,35.0,0.8,4.3,7.4,63,Overripe,Medium,466.9,True
Strawberry,Fruit,1.7,31.9,2.3,2.4,21.8,67,Unripe,Medium,209.4,True
Onion,Vegetable,2.9,58.8,4.8,7.6,10.4,37,Unripe,Large,892.8,False
Radish,Vegetable,2.0,60.8,2.3,7.5,3.8,21,Overripe,Large,214.4,False
Turnip,Vegetable,1.9,24.3,1.2,6.6,8.2,38,Unripe,Large,161.3,False
Gooseberry,Fruit,13.3,50.7,2.6,3.5,21.7,71,Ripe,Large,331.2,True
Guava,Fruit,19.3,80.9,1.2,1.1,6.3,43,Overripe,Large,423.9,True
Custard Apple,Fruit,5.1,36.2,2.6,3.4,18.9,78,Ripe,Small,246.8,True
Mushrooms,Vegetable,2.7,27.8,3.5,7.7,5.7,51,Unripe,Small,184.5,False
Banana,Fruit,5.7,43.3,1.8,3.5,10.0,56,Unripe,Medium,267.3,True
Strawberry,Fruit,2.5,32.7,1.4,4.1,18.8,44,Overripe,Small,288.3,True
Bottle Gourd,Vegetable,1.5,40.7,3.6,7.1,7.2,41,Ripe,Medium,1119.5,False
Orange,Fruit,16.6,42.2,0.8,3.5,21.1,80,Ripe,Small,452.4,True
Mushrooms,Vegetable,5.0,30.1,1.0,4.9,10.9,34,Ripe,Medium,464.6,False
Bitter Gourd,Vegetable,3.4,46.8,2.2,1.6,12.4,58,Ripe,Medium,1230.6,False
Spinach,Vegetable,1.9,53.1,4.3,7.1,5.0,47,Overripe,Small,487.2,False
Pear,Fruit,7.2,35.9,2.1,2.9,21.3,88,Ripe,Medium,469.8,True
Brinjal,Vegetable,3.9,22.2,1.8,4.7,11.9,60,Unripe,Medium,973.1,False
Plum,Fruit,12.3,66.0,2.5,3.8,14.2,74,Ripe,Large,170.3,True
Onion,Vegetable,2.2,25.4,1.7,3.0,12.4,53,Ripe,Small,504.9,False
Pear,Fruit,14.2,88.5,1.9,4.6,14.0,83,Unripe,Small,191.9,True
Mushrooms,Vegetable,3.3,30.4,2.8,4.3,14.2,25,Ripe,Small,1036.5,False
Peach,Fruit,7.4,43.1,2.0,2.3,22.3,40,Ripe,Medium,436.1,True
Pumpkin,Vegetable,2.7,59.6,3.8,8.0,7.2,40,Unripe,Large,105.5,False
Radish,Vegetable,4.5,52.8,3.7,1.5,3.8,47,Ripe,Small,618.1,False
Orange,Fruit,4.3,47.4,0.9,1.1,15.5,50,Ripe,Large,222.7,True
Banana,Fruit,15.5,48.7,2.6,1.7,10.9,47,Overripe,Small,300.2,True
Guava,Fruit,3.9,73.1,0.9,2.1,14.9,55,Ripe,Large,454.6,True
Sweet Corn,Vegetable,3.8,54.0,1.5,2.9,11.5,48,Unripe,Medium,861.0,False
Tomato,Vegetable,1.1,30.1,3.4,4.2,5.6,27,Unripe,Small,876.5,False
Yam,Vegetable,2.7,59.4,4.9,4.7,4.6,20,Ripe,Large,1207.2,False
Beetroot,Vegetable,3.8,45.9,1.5,3.8,13.9,20,Ripe,Small,1308.3,False
Garlic,Vegetable,1.5,24.1,1.1,6.9,12.2,60,Overripe,Medium,248.0,False
Turnip,Vegetable,3.8,46.2,4.2,7.5,8.6,60,Overripe,Large,1342.2,False
Custard Apple,Fruit,16.8,86.5,1.0,4.3,15.8,97,Overripe,Small,410.0,True
Spinach,Vegetable,4.2,61.6,3.3,7.5,14.1,51,Ripe,Small,614.4,False
Pumpkin,Vegetable,0.3,54.8,4.7,4.9,4.2,48,Ripe,Small,127.1,False
Custard Apple,Fruit,3.8,85.9,2.3,3.2,19.2,62,Unripe,Medium,59.3,True
Okra,Vegetable,5.0,25.8,1.2,4.5,7.6,29,Overripe,Large,1413.9,False
Custard Apple,Fruit,19.2,54.2,1.7,1.9,15.0,52,Overripe,Small,233.5,True
Grapes,Fruit,17.2,83.4,2.2,1.0,23.2,92,Overripe,Small,339.1,True
Fig,Fruit,14.0,87.3,0.9,5.0,15.5,91,Ripe,Large,81.5,True
Watermelon,Fruit,19.2,39.2,2.8,3.6,20.9,48,Unripe,Medium,295.8,True
Kohlrabi,Vegetable,4.1,22.9,2.0,1.4,7.1,41,Unripe,Small,928.3,False
Plum,Fruit,13.1,62.3,1.0,4.8,12.2,47,Ripe,Small,392.8,True
Custard Apple,Fruit,11.8,74.6,2.5,2.7,20.4,96,Unripe,Medium,471.3,True
Grapes,Fruit,4.2,97.1,0.7,3.3,21.9,50,Overripe,Small,321.7,True
Radish,Vegetable,1.4,45.4,2.2,2.4,11.9,34,Ripe,Small,241.7,False
Sweet Corn,Vegetable,1.2,59.3,4.8,5.1,8.7,22,Ripe,Large,1046.6,False
Avocado,Fruit,4.8,71.7,1.1,1.3,22.9,75,Overripe,Small,169.8,True
Chayote,Vegetable,1.5,61.2,2.5,4.0,11.3,45,Ripe,Large,670.4,False
Garlic,Vegetable,1.6,55.0,2.4,1.3,10.7,22,Overripe,Medium,1165.5,False
Strawberry,Fruit,11.9,49.3,1.7,4.8,13.3,85,Unripe,Small,101.2,True
Yam,Vegetable,3.3,36.9,3.8,5.0,10.6,23,Unripe,Small,842.1,False
Kohlrabi,Vegetable,1.9,26.7,1.1,6.0,5.5,26,Unripe,Small,363.3,False
Cabbage,Vegetable,4.7,68.7,3.1,3.0,10.4,21,Unripe,Medium,381.5,False
Cauliflower,Vegetable,4.4,67.6,1.7,6.7,12.1,34,Unripe,Large,1072.8,False
Carrot,Vegetable,2.0,38.4,3.7,5.3,5.9,58,Ripe,Small,744.1,False
Okra,Vegetable,0.7,58.7,4.4,7.5,12.7,57,Unripe,Large,1265.9,False
Tomato,Vegetable,0.3,63.1,1.8,6.6,14.5,22,Ripe,Large,514.8,False
Green Chili,Vegetable,5.0,28.2,4.7,6.3,8.4,31,Overripe,Small,1084.9,False
Cauliflower,Vegetable,0.4,63.3,4.7,7.9,10.8,31,Overripe,Medium,666.7,False
Kohlrabi,Vegetable,3.1,33.5,3.0,7.6,13.3,20,Overripe,Small,712.6,False
Dragon Fruit,Fruit,11.3,42.6,1.2,2.4,5.0,45,Unripe,Medium,143.6,True
Cabbage,Vegetable,3.5,39.5,4.4,4.0,14.8,60,Ripe,Medium,1061.6,False
Strawberry,Fruit,17.8,52.3,1.9,4.2,12.4,82,Overripe,Large,456.4,True
Tomato,Vegetable,2.3,33.7,2.4,7.8,6.4,20,Ripe,Small,832.4,False
Cabbage,Vegetable,2.7,46.5,2.1,6.3,8.4,34,Ripe,Medium,768.4,False
Papaya,Fruit,8.6,90.4,0.9,3.0,22.3,87,Unripe,Small,343.6,True
Okra,Vegetable,4.2,44.6,3.0,7.0,8.1,41,Overripe,Medium,537.2,False
Tomato,Vegetable,0.6,43.1,1.8,4.6,11.7,41,Ripe,Large,1206.1,False
Beetroot,Vegetable,3.1,25.8,4.1,3.4,5.6,29,Overripe,Medium,147.3,False
Mushrooms,Vegetable,2.5,20.1,3.5,1.7,9.4,27,Unripe,Small,229.2,False
Papaya,Fruit,3.3,93.8,0.7,4.1,22.2,50,Overripe,Large,357.1,True
Peach,Fruit,10.2,43.6,1.3,2.9,24.3,60,Ripe,Small,161.6,True
Garlic,Vegetable,1.2,42.7,2.3,7.8,3.1,48,Ripe,Large,711.3,False
Orange,Fruit,14.4,58.0,0.6,1.7,24.1,78,Overripe,Large,209.1,True
Grapes,Fruit,12.9,82.8,1.9,2.6,16.0,64,Ripe,Large,135.0,True
Beetroot,Vegetable,1.2,59.7,2.1,6.2,14.1,55,Ripe,Small,208.7,False
Gooseberry,Fruit,10.7,40.4,0.9,2.5,19.9,75,Unripe,Small,107.3,True
Mushrooms,Vegetable,4.0,58.3,4.1,6.8,9.7,32,Ripe,Large,1403.7,False
Chayote,Vegetable,3.6,24.4,1.0,6.4,3.4,33,Ripe,Medium,560.6,False
Litchi,Fruit,10.9,95.9,2.2,4.3,24.4,52,Unripe,Medium,429.2,True
Drumstick,Vegetable,0.5,22.6,4.4,4.9,8.3,53,Overripe,Medium,127.6,False
Papaya,Fruit,18.9,51.5,0.7,2.1,24.3,71,Ripe,Medium,436.1,True
Plum,Fruit,14.4,93.5,0.9,4.5,12.5,84,Overripe,Large,216.7,True
Dragon Fruit,Fruit,0.0,79.7,1.8,3.8,11.8,84,Overripe,Large,219.1,True
Drumstick,Vegetable,0.2,29.1,4.2,7.0,9.8,41,Ripe,Medium,1488.5,False
Fig,Fruit,9.1,35.0,1.9,1.2,16.4,57,Unripe,Large,192.9,True
Lychee,Fruit,2.7,57.3,2.9,2.7,19.4,41,Ripe,Large,451.7,True
Pumpkin,Vegetable,3.6,32.4,2.3,5.8,14.9,23,Overripe,Large,131.6,False
Cabbage,Vegetable,4.5,48.7,2.6,1.5,10.3,58,Ripe,Medium,888.5,False
Custard Apple,Fruit,15.8,47.3,2.6,2.9,19.0,84,Unripe,Medium,283.8,True
Peas,Vegetable,2.7,29.6,3.8,4.9,8.0,35,Ripe,Large,1172.5,False
Brinjal,Vegetable,1.3,50.6,1.6,4.1,6.8,32,Unripe,Medium,1111.5,False
Papaya,Fruit,9.2,47.0,2.3,1.4,9.2,66,Ripe,Small,327.4,True
Pineapple,Fruit,11.1,55.0,1.2,3.7,24.0,87,Unripe,Large,254.8,True
Fenugreek,Vegetable,3.3,66.7,1.2,4.3,14.3,60,Overripe,Small,1173.1,False
Plum,Fruit,4.7,95.0,2.3,3.4,9.0,66,Overripe,Medium,383.5,True
Coriander Leaves,Vegetable,2.4,48.4,4.4,6.2,3.9,40,Unripe,Large,1363.7,False
Beetroot,Vegetable,0.1,43.6,4.8,2.2,3.1,59,Ripe,Small,358.0,False
Cabbage,Vegetable,2.2,37.1,1.2,4.0,4.8,25,Ripe,Large,499.5,False
Pear,Fruit,16.8,49.1,1.3,1.0,6.8,58,Unripe,Small,384.8,True
Apple,Fruit,8.3,59.9,0.7,4.4,16.9,100,Overripe,Small,145.0,True
Dragon Fruit,Fruit,0.0,78.4,0.8,4.3,23.0,67,Ripe,Small,295.8,True
Yam,Vegetable,3.8,40.9,2.8,3.2,6.0,39,Unripe,Large,924.5,False
Bitter Gourd,Vegetable,1.7,45.9,1.8,7.8,8.4,60,Overripe,Small,342.9,False
Drumstick,Vegetable,3.7,44.6,4.7,1.3,14.5,38,Overripe,Small,1360.3,False
Watermelon,Fruit,3.4,98.5,2.2,4.4,17.5,44,Ripe,Medium,153.4,True
Potato,Vegetable,1.6,23.7,1.1,6.7,15.0,41,Ripe,Large,890.9,False
Ginger,Vegetable,4.5,34.3,1.5,6.0,8.8,22,Overripe,Large,479.0,False
Strawberry,Fruit,1.3,47.5,1.8,1.9,24.8,86,Unripe,Medium,330.8,True
Onion,Vegetable,0.2,46.9,2.4,4.1,3.2,49,Overripe,Large,663.6,False
Mango,Fruit,13.6,98.6,2.0,3.6,17.8,80,Unripe,Large,390.2,True
Plum,Fruit,9.7,51.8,2.3,3.3,20.1,53,Overripe,Large,360.6,True
Plum,Fruit,5.7,53.6,0.7,2.0,23.7,68,Ripe,Large,134.0,True
